gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000033880	963.5855460189536	1.5297510319426217	0.19900511388988523	4.2666750982066095e-16	7.764068676206567e-12
ENSMUSG00000115529	151.40771921088412	-1.6334672267844816	0.3952473165683603	2.786296599901281e-8	2.5351119614201804e-4
ENSMUSG00000104674	105.91817896442545	1.0994938618635555	0.635552085325788	2.960909495121258e-6	0.006157271079318568
