gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000033880	963.5855460189536	1.5297510319426217	0.19900511388988523	4.2666750982066095e-16	7.764068676206567e-12
ENSMUSG00000115529	151.40771921088412	-1.6334672267844816	0.3952473165683603	2.786296599901281e-8	2.5351119614201804e-4
ENSMUSG00000026879	2912.6993703537673	-0.6070917797797606	0.13238882368329916	1.0450696209458287e-7	4.8209663642211125e-4
ENSMUSG00000092274	4438.621319304401	0.857182120715102	0.23633330563228072	1.0597277274762021e-7	4.8209663642211125e-4
ENSMUSG00000005397	1010.340990841467	-0.7798712471805097	0.26579409003671817	1.399071422069441e-6	0.004684516279624663
ENSMUSG00000076439	821.8230989234902	-0.78532857715817	0.27384182651861744	1.544600630749463e-6	0.004684516279624663
ENSMUSG00000024423	8816.083793449867	0.5261523216258612	0.13090894170745412	2.003561830533192e-6	0.005208402090030356
ENSMUSG00000063564	749.2287371717282	-0.5618819017824039	0.15304266080596193	3.045306353457554e-6	0.006157271079318568
ENSMUSG00000104674	105.91817896442545	1.0994938618635555	0.635552085325788	2.960909495121258e-6	0.006157271079318568
ENSMUSG00000006522	3773.311474943238	0.6175732208415695	0.19662137717734812	4.3143927399887955e-6	0.006542417057464676
ENSMUSG00000038630	1932.503604558592	0.5858671598210492	0.173444842359323	4.084992980083103e-6	0.006542417057464676
ENSMUSG00000046718	218.14646724238764	0.9655951277725436	0.518732714835084	3.9964891482469285e-6	0.006542417057464676
ENSMUSG00000040856	307.8429701830444	0.9467369607683235	0.5877673732472142	5.457211968724626e-6	0.007638837399606309
ENSMUSG00000037625	6207.084056044315	-0.6103100251277873	0.21586085299100802	7.340963160903521e-6	0.009541679045640097
ENSMUSG00000059824	1817.4920269702907	-0.5604062720467301	0.18001156120431505	8.098088930833878e-6	0.009824061618292272
ENSMUSG00000140435	337.6181621270215	0.6937644597251597	0.33816471363490647	9.654063307251215e-6	0.010979686875128148
ENSMUSG00000051985	96.7476387810537	0.7890583127611039	0.5660885570258226	1.141320047918335e-5	0.012216824065864672
ENSMUSG00000076617	175.02236281858234	0.643105739614769	0.32996979331847026	1.487590002665387e-5	0.015038708488056694
ENSMUSG00000027375	10462.17010885225	-0.5019508995442041	0.1722958252181388	1.8232586229478956e-5	0.016301614448235035
ENSMUSG00000031342	63718.057032170414	-0.42298519900607384	0.12880931626129286	1.877270909602459e-5	0.016301614448235035
ENSMUSG00000038007	460.07559627055235	0.5794908983148959	0.25892845760716976	1.8812656119851388e-5	0.016301614448235035
ENSMUSG00000097929	1695.1977411440428	-0.44516830883650443	0.14188857634852048	2.0520793168037313e-5	0.016973494239944317
ENSMUSG00000027955	214.87313039752993	-0.5380819655926095	0.32424189590439534	3.985235411918283e-5	0.031530142952468254
ENSMUSG00000027858	7865.443172424819	-0.4618085043457919	0.19210454602765797	4.607425919008599e-5	0.03224666517238441
ENSMUSG00000034459	249.59481027784773	0.535332618757559	0.4483038775618206	4.448870855493935e-5	0.03224666517238441
ENSMUSG00000085438	37507.30863495353	-0.42433893134002654	0.1588670529180179	4.4242281736037e-5	0.03224666517238441
ENSMUSG00000048960	6657.122709821636	-0.416311938675475	0.1600402814660361	5.077948341640144e-5	0.034223491101046555
ENSMUSG00000053411	3326.264699983755	0.4374517524853088	0.18221366599322628	5.582734534834721e-5	0.03628179297513836
ENSMUSG00000104494	225.23581648120788	-0.49889596342505294	0.3776482111683215	5.863205922713311e-5	0.036790606267453146
ENSMUSG00000026872	3301.0895002040234	-0.399225747501015	0.15737251930214433	6.090053283618095e-5	0.03694023320066616
ENSMUSG00000046442	2394.175428778862	0.3794304870899327	0.1475512932906379	6.461041080771214e-5	0.03792631114412703
ENSMUSG00000019232	7328.973907726142	0.43538277992060914	0.2441617982628212	9.797163085069258e-5	0.05193030387580226
ENSMUSG00000030172	3690.399540591792	-0.38751287037127613	0.17573706902404776	9.742998361416194e-5	0.05193030387580226
ENSMUSG00000050967	458.86465168223714	0.43586684445520807	0.2509605399567003	9.988243312925642e-5	0.05193030387580226
ENSMUSG00000109904	122.53053630004302	-0.42579565791963475	0.39140417610344674	9.948722028361747e-5	0.05193030387580226
ENSMUSG00000032517	38808.413482555115	-0.416017802423246	0.23479444370453373	1.1807842758691357e-4	0.05807224721078558
ENSMUSG00000051615	2204.3203244351835	-0.37760562956518545	0.17948897617044957	1.1624540301854891e-4	0.05807224721078558
ENSMUSG00000023827	923.472177618888	-0.3801137217679028	0.19478718843282394	1.351849661559749e-4	0.06150933515364019
ENSMUSG00000056427	747.3034604425046	-0.39108312267330764	0.20335309953459244	1.2862849969612588e-4	0.06150933515364019
ENSMUSG00000107134	1093.062150312341	-0.3707810657792682	0.18473950881540804	1.3520763895947724e-4	0.06150933515364019
ENSMUSG00000011884	1343.2418463876854	-0.38491031075984933	0.20779782666797886	1.439521923465502e-4	0.06389019619829693
ENSMUSG00000081272	1366.0680215212387	-0.39106085970920323	0.22155192696983228	1.4757733947565318e-4	0.06393963920091573
ENSMUSG00000027524	235.91260526939723	-0.3853377831161142	0.3460739050492143	1.5252488882902895e-4	0.06454640469818232
ENSMUSG00000031618	1166.2239423215183	0.3818904056524225	0.2298438389740445	1.71796581428497e-4	0.06796048678813826
ENSMUSG00000038173	589.3041281588845	-0.34933062894116884	0.38286257900483045	1.7103963241846512e-4	0.06796048678813826
ENSMUSG00000047945	946.3587983496667	-0.36785916962699866	0.35097412442176473	1.715982391317039e-4	0.06796048678813826
ENSMUSG00000036402	2287.0474426263045	-0.3700451736019471	0.21166991861738454	1.7691971610188446e-4	0.0684980441256594
ENSMUSG00000085873	367.043830359766	0.3121988748973057	0.410067108986098	1.856885299153378e-4	0.07039529539311255
ENSMUSG00000005045	1773.3417482312136	0.3741971283216427	0.2347232173066006	1.9166579585957157e-4	0.07117841810727803
ENSMUSG00000056966	3915.0166748930296	-0.3515199362337004	0.19867226093505913	1.9758391524260835e-4	0.07190869011339489
ENSMUSG00000086219	209.2542544612797	-0.3672700746524812	0.3062805000950855	2.030522102160942e-4	0.07244982488827974
ENSMUSG00000025533	645.32409764442	0.3479790007086992	0.3269698579309961	2.2159880282801014e-4	0.0772835798403323
ENSMUSG00000040035	10407.424892379695	0.30158607617004857	0.1615058079406077	2.2509368201009022e-4	0.0772835798403323
ENSMUSG00000073418	706.2485428902332	0.3508708758605599	0.310337797919799	2.3197554392431424e-4	0.07817146245908789
ENSMUSG00000078903	36.52266625529592	0.17363374120208086	0.407937020183439	2.4247196044236674e-4	0.08022295025763178
ENSMUSG00000066180	22.47716499914894	-0.09661104360213725	0.3324499378588405	2.6660326009004837e-4	0.0851119214712037
ENSMUSG00000079017	93.44065902045678	0.1262717761894329	0.36857429021498617	2.6510494589327126e-4	0.0851119214712037
ENSMUSG00000110140	42.620138253857284	0.111990372622715	0.35132051924712077	2.7687025902572434e-4	0.0868656569567432
